year,month,nao
1989,oct,-0.03
1989,nov,0.16
1989,dec,-1.15
1990,jan,1.04
1990,feb,1.41
1990,mar,1.46
1990,apr,2
1990,may,-1.53
1990,jun,-0.02
1990,jul,0.53
1990,aug,0.97
1990,sep,1.06
1990,oct,0.23
1990,nov,-0.24
1990,dec,0.22
1991,jan,0.86
1991,feb,1.04
1991,mar,-0.2
1991,apr,0.29
1991,may,0.08
1991,jun,-0.82
1991,jul,-0.49
1991,aug,1.23
1991,sep,0.48
1991,oct,-0.19
1991,nov,0.48
1991,dec,0.46
1992,jan,-0.13
1992,feb,1.07
1992,mar,0.87
1992,apr,1.86
1992,may,2.63
1992,jun,0.2
1992,jul,0.16
1992,aug,0.85
1992,sep,-0.44
1992,oct,-1.76
1992,nov,1.19
1992,dec,0.47
1993,jan,1.6
1993,feb,0.5
1993,mar,0.67
1993,apr,0.97
1993,may,-0.78
1993,jun,-0.59
1993,jul,-3.18
1993,aug,0.12
1993,sep,-0.57
1993,oct,-0.71
1993,nov,2.56
1993,dec,1.56
1994,jan,1.04
1994,feb,0.46
1994,mar,1.26
1994,apr,1.14
1994,may,-0.57
1994,jun,1.52
1994,jul,1.31
1994,aug,0.38
1994,sep,-1.32
1994,oct,-0.97
1994,nov,0.64
1994,dec,2.02
1995,jan,0.93
1995,feb,1.14
1995,mar,1.25
1995,apr,-0.85
1995,may,-1.49
1995,jun,0.13
1995,jul,-0.22
1995,aug,0.69
1995,sep,0.31
1995,oct,0.19
1995,nov,-1.38
1995,dec,-1.67
1996,jan,-0.12
1996,feb,-0.07
1996,mar,-0.24
1996,apr,-0.17
1996,may,-1.06
1996,jun,0.56
1996,jul,0.67
1996,aug,1.02
1996,sep,-0.86
1996,oct,-0.33
1996,nov,-0.56
1996,dec,-1.41
1997,jan,-0.49
1997,feb,1.7
1997,mar,1.46
1997,apr,-1.02
1997,may,-0.28
1997,jun,-1.47
1997,jul,0.34
1997,aug,0.83
1997,sep,0.61
1997,oct,-1.7
1997,nov,-0.9
1997,dec,-0.96
1998,jan,0.39
1998,feb,-0.11
1998,mar,0.87
1998,apr,-0.68
1998,may,-1.32
1998,jun,-2.72
1998,jul,-0.48
1998,aug,-0.02
1998,sep,-2
1998,oct,-0.29
1998,nov,-0.28
1998,dec,0.87
1999,jan,0.77
1999,feb,0.29
1999,mar,0.23
1999,apr,-0.95
1999,may,0.92
1999,jun,1.12
1999,jul,-0.9
1999,aug,0.39
1999,sep,0.36
1999,oct,0.2
1999,nov,0.65
1999,dec,1.61
2000,jan,0.6
2000,feb,1.7
2000,mar,0.77
2000,apr,-0.03
2000,may,1.58
2000,jun,-0.03
2000,jul,-1.03
2000,aug,-0.29
2000,sep,-0.21
2000,oct,0.92
2000,nov,-0.92
2000,dec,-0.58
2001,jan,0.25
2001,feb,0.45
2001,mar,-1.26
2001,apr,0
2001,may,-0.02
2001,jun,-0.2
2001,jul,-0.25
2001,aug,-0.07
2001,sep,-0.65
2001,oct,-0.24
2001,nov,0.63
2001,dec,-0.83
2002,jan,0.44
2002,feb,1.1
2002,mar,0.69
2002,apr,1.18
2002,may,-0.22
2002,jun,0.38
2002,jul,0.62
2002,aug,0.38
2002,sep,-0.7
2002,oct,-2.28
2002,nov,-0.18
2002,dec,-0.94
2003,jan,0.16
2003,feb,0.62
2003,mar,0.32
2003,apr,-0.18
2003,may,0.01
2003,jun,-0.07
2003,jul,0.13
2003,aug,-0.07
2003,sep,0.01
2003,oct,-1.26
2003,nov,0.86
2003,dec,0.64
2004,jan,-0.29
2004,feb,-0.14
2004,mar,1.02
2004,apr,1.15
2004,may,0.19
2004,jun,-0.89
2004,jul,1.13
2004,aug,-0.48
2004,sep,0.38
2004,oct,-1.1
2004,nov,0.73
2004,dec,1.21
2005,jan,1.52
2005,feb,-0.06
2005,mar,-1.83
2005,apr,-0.3
2005,may,-1.25
2005,jun,-0.05
2005,jul,-0.51
2005,aug,0.37
2005,sep,0.63
2005,oct,-0.98
2005,nov,-0.31
2005,dec,-0.44
2006,jan,1.27
2006,feb,-0.51
2006,mar,-1.28
2006,apr,1.24
2006,may,-1.14
2006,jun,0.84
2006,jul,0.9
2006,aug,-1.73
2006,sep,-1.62
2006,oct,-2.24
2006,nov,0.44
2006,dec,1.34
2007,jan,0.22
2007,feb,-0.47
2007,mar,1.44
2007,apr,0.17
