Station,Year,Month,Temp
Lista,1969,10,11.7259595959596
Lista,1969,11,9.19868686868687
Lista,1969,12,6.85888888888889
Lista,1970,1,4.81656565656566
Lista,1970,2,NaN
Lista,1970,3,5.73338383838384
Lista,1970,4,4.83949494949495
Lista,1970,5,4.72161616161616
Lista,1970,6,5.94242424242424
Lista,1970,7,8.51166666666667
Lista,1970,8,11.230101010101
Lista,1970,9,9.34767676767677
Lista,1970,10,11.3327272727273
Lista,1970,11,NaN
Lista,1970,12,5.35873737373737
Lista,1971,1,NaN
Lista,1971,2,4.79257575757576
Lista,1971,3,4.82444444444444
Lista,1971,4,6.21878787878788
Lista,1971,5,6.36454545454546
Lista,1971,6,6.58535353535354
Lista,1971,7,8.56929292929293
Lista,1971,8,10.4260606060606
Lista,1971,9,11.8488383838384
Lista,1971,10,12.1420707070707
Lista,1971,11,9.93414141414141
Lista,1971,12,8.19217171717172
Lista,1972,1,5.81611111111111
Lista,1972,2,4.94035353535354
Lista,1972,3,4.73868686868687
Lista,1972,4,6.19287878787879
Lista,1972,5,6.62388888888889
Lista,1972,6,NaN
Lista,1972,7,9.37616161616162
Lista,1972,8,8.15717171717172
Lista,1972,9,10.7540404040404
Lista,1972,10,10.799494949495
Lista,1972,11,10.3502525252525
Lista,1972,12,8.63838383838384
Lista,1973,1,6.98363636363636
Lista,1973,2,6.10444444444444
Lista,1973,3,6.04005050505051
Lista,1973,4,5.94762626262626
Lista,1973,5,6.87636363636364
Lista,1973,6,8.59494949494949
Lista,1973,7,8.93227272727273
Lista,1973,8,10.4436363636364
Lista,1973,9,10.6235353535354
Lista,1973,10,9.1400505050505
Lista,1973,11,9.41626262626263
Lista,1973,12,8.46949494949495
Lista,1974,1,5.14565656565657
Lista,1974,2,4.74661616161616
Lista,1974,3,4.94116161616162
Lista,1974,4,6.00191919191919
Lista,1974,5,6.585
Lista,1974,6,7.48232323232323
Lista,1974,7,8.93313131313131
Lista,1974,8,11.4022222222222
Lista,1974,9,12.4389393939394
Lista,1974,10,10.625303030303
Lista,1974,11,10.2559595959596
Lista,1974,12,NaN
Lista,1975,1,6.97333333333333
Lista,1975,2,5.72520202020202
Lista,1975,3,5.85681818181818
Lista,1975,4,6.52323232323232
Lista,1975,5,6.89060606060606
Lista,1975,6,7.24616161616162
Lista,1975,7,7.64611111111111
Lista,1975,8,10.8148484848485
Lista,1975,9,13.7187373737374
Lista,1975,10,11.665404040404
Lista,1975,11,8.23176767676768
Lista,1975,12,NaN
Lista,1976,1,6.86080808080808
Lista,1976,2,5.6069696969697
Lista,1976,3,4.96363636363636
Lista,1976,4,6.05666666666667
Lista,1976,5,6.53671717171717
Lista,1976,6,6.66641414141414
Lista,1976,7,8.96015151515152
Lista,1976,8,NaN
Lista,1976,9,11.4243434343434
Lista,1976,10,11.7585858585859
Lista,1976,11,11.0123737373737
Lista,1976,12,9.23469696969697
Lista,1977,1,5.48590909090909
Lista,1977,2,3.68328282828283
Lista,1977,3,3.36747474747475
Lista,1977,4,5.32621212121212
Lista,1977,5,5.8189898989899
Lista,1977,6,6.90141414141414
Lista,1977,7,9.11489898989899
Lista,1977,8,9.26828282828283
Lista,1977,9,9.61409090909091
Lista,1977,10,9.03994949494949
Lista,1977,11,9.15858585858586
Lista,1977,12,9.82651515151515
Lista,1978,1,6.38919191919192
Lista,1978,2,3.68873737373737
Lista,1978,3,3.75868686868687
Lista,1978,4,4.69585858585859
Lista,1978,5,NaN
Lista,1978,6,NaN
Lista,1978,7,8.85540404040404
Lista,1978,8,NaN
Lista,1978,9,10.5990404040404
Lista,1978,10,11.1844444444444
Lista,1978,11,10.9484343434343
Lista,1978,12,8.86161616161616
Lista,1979,1,4.34787878787879
Lista,1979,2,4.52737373737374
Lista,1979,3,4.02050505050505
Lista,1979,4,3.66823232323232
Lista,1979,5,5.07873737373737
Lista,1979,6,6.21772727272727
Lista,1979,7,7.97707070707071
Lista,1979,8,10.6268686868687
Lista,1979,9,9.13782828282828
Lista,1979,10,10.3595454545455
Lista,1979,11,10.3251515151515
Lista,1979,12,6.76318181818182
Lista,1980,1,4.06873737373737
Lista,1980,2,2.75636363636364
Lista,1980,3,4.91065656565657
Lista,1980,4,4.78974747474747
Lista,1980,5,5.62267676767677
Lista,1980,6,NaN
Lista,1980,7,10.8893939393939
Lista,1980,8,10.5214646464646
Lista,1980,9,11.5401515151515
Lista,1980,10,10.7685353535354
Lista,1980,11,9.27489898989899
Lista,1980,12,7.64631313131313
Lista,1981,1,6.33191919191919
Lista,1981,2,3.95479797979798
Lista,1981,3,3.93176767676768
Lista,1981,4,4.74136363636364
Lista,1981,5,6.35328282828283
Lista,1981,6,7.55757575757576
Lista,1981,7,8.63419191919192
Lista,1981,8,9.89434343434343
Lista,1981,9,10.5618686868687
Lista,1981,10,10.9984343434343
Lista,1981,11,9.08747474747475
Lista,1981,12,7.25883838383838
Lista,1982,1,NaN
Lista,1982,2,4.77388888888889
Lista,1982,3,4.43358585858586
Lista,1982,4,4.53818181818182
Lista,1982,5,5.72015151515151
Lista,1982,6,6.96080808080808
Lista,1982,7,8.65833333333333
Lista,1982,8,NaN
Lista,1982,9,11.3706565656566
Lista,1982,10,12.4393434343434
Lista,1982,11,9.63439393939394
Lista,1982,12,6.16909090909091
Lista,1983,1,7.25530303030303
Lista,1983,2,5.53691919191919
Lista,1983,3,4.12858585858586
Lista,1983,4,5.12358585858586
Lista,1983,5,6.5060606060606
Lista,1983,6,6.90338383838384
Lista,1983,7,9.03090909090909
Lista,1983,8,9.75717171717172
Lista,1983,9,11.9374747474747
Lista,1983,10,11.4119696969697
Lista,1983,11,10.815202020202
Lista,1983,12,9.05252525252525
Lista,1984,1,5.14782828282828
Lista,1984,2,3.64146464646465
Lista,1984,3,4.44626262626263
Lista,1984,4,5.23914141414141
Lista,1984,5,6.71343434343434
Lista,1984,6,6.7120202020202
Lista,1984,7,7.37191919191919
Lista,1984,8,9.97146464646465
Lista,1984,9,11.1661111111111
Lista,1984,10,9.83050505050505
Lista,1984,11,10.2815151515152
Lista,1984,12,7.88257575757576
